,City,Latitude,Longitude,Temperature,Wind Speed (mph),Humidity (%),Cloudiness (%),Country,Date,Max Temperature (F)
0,Poum,41.28,20.71,10.4,6.93,85,40,MK,1547350200,10.4
1,Guadalupe y Calvo,26.09,-106.96,34.74,1.81,69,0,MX,1547352054,34.74
2,Pundaguitan,6.37,126.17,80.73,5.1,100,92,PH,1547352054,80.73
3,Umm Bab,25.21,50.81,54.5,6.93,87,20,QA,1547348160,54.5
4,Victoria,5.28,115.24,84.99,4.7,74,75,BN,1547348400,86.0
5,Carutapera,-1.2,-46.02,76.59,6.73,96,92,BR,1547351218,76.59
6,Lebu,8.96,38.73,30.06,2.98,53,0,ET,1547351054,30.06
7,Fairmont,40.64,-97.59,25.41,9.17,96,90,US,1547350500,27.14
8,Huarmey,-10.07,-78.15,62.19,4.21,91,0,PE,1547351980,62.19
9,Norman Wells,65.28,-126.83,-36.41,6.93,65,40,CA,1547348400,-36.41
10,Maragogi,-9.01,-35.22,73.89,5.1,100,92,BR,1547352043,73.89
11,Bluff,-23.58,149.07,91.98,10.92,42,0,AU,1547352056,91.98
12,Hobart,-42.88,147.33,71.6,16.11,33,0,AU,1547350200,71.6
13,Mar del Plata,-46.43,-67.52,55.98,5.99,48,0,AR,1547351874,55.98
14,Ushuaia,-54.81,-68.31,44.6,28.86,70,75,AR,1547348400,44.6
15,Lavrentiya,65.58,-170.99,-11.08,28.7,92,8,RU,1547351278,-11.08
16,Zhangjiakou,40.77,114.88,18.18,4.09,43,0,CN,1547352057,18.18
17,Bellevue,47.61,-122.19,41.5,2.75,85,1,US,1547351580,50.0
18,New Norfolk,-42.78,147.06,71.6,16.11,33,0,AU,1547350200,71.6
19,Chuy,-33.69,-53.46,70.2,12.03,90,88,UY,1547351223,70.2
20,Hambantota,6.12,81.12,77.0,8.05,94,90,LK,1547349000,77.0
21,Tasiilaq,65.61,-37.64,17.6,1.12,67,36,GL,1547347800,17.6
22,Taoudenni,22.68,-3.98,45.72,13.6,28,0,ML,1547350802,45.72
23,Bredasdorp,-34.53,20.04,62.6,9.17,67,24,ZA,1547348400,62.6
24,Hovd,63.83,10.7,32.95,6.93,91,90,NO,1547347800,33.8
25,Songjianghe,42.18,127.48,17.46,3.6,77,12,CN,1547352062,17.46
26,Thompson,55.74,-97.86,14.0,8.05,85,90,CA,1547350620,14.0
27,Busselton,-33.64,115.35,72.36,18.07,86,0,AU,1547352062,72.36
28,Saint George,39.45,22.34,31.96,3.38,86,20,GR,1547351400,33.8
29,Iquique,-20.22,-70.14,71.6,6.93,64,0,CL,1547348400,71.6
30,Bethel,60.79,-161.76,-7.3,17.22,82,40,US,1547348160,-4.01
31,Atuona,-9.8,-139.03,80.19,15.84,100,68,PF,1547352064,80.19
32,Chokurdakh,70.62,147.9,-24.22,8.23,37,80,RU,1547352064,-24.22
33,Rikitea,-23.12,-134.97,79.29,13.6,99,80,PF,1547352064,79.29
